temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate,type,lat,long,prophet,interval,prophet_start,prophet_end
Madrid Spain Temple,4,4,1,45800,3.5,15,1,16,NA,1,Attached,Yes,1993-04-04,1996-06-11,1999-03-19,"Madrid, Madrid, Spain",OPERATING,19 March 1999,27,madrid-spain-temple,Madrid, Madrid,Spain,"March 19, 1999",NA,40.4167047,-3.7035825,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
Managua Nicaragua Temple,2,2,1,25000,8.9,NA,NA,NA,817.9,1,Attached,No,2018-04-01,2022-11-26,NA,Location Not Available,ANNOUNCED,Announced,4108672,managua-nicaragua-temple,,,International,,International,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Manaus Brazil Temple,2,2,1,32032,7.7,13,4,17,106.9,1,Attached,Yes,2007-05-23,2008-06-20,2012-06-10,"Manaus, Amazonas, Brazil",OPERATING,10 June 2012,79543,manaus-brazil-temple,Manaus, Amazonas,Brazil,"June 10, 2012",NA,-3.1316333,-59.9825041,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Manhattan New York Temple,2,2,1,20630,0.3,11,0,11,80.3,1,Attached,Yes,2002-08-07,2002-09-23,2004-06-13,"New York, New York, United States",OPERATING,13 June 2004,69208,manhattan-new-york-temple,New York, New York,United States,"June 13, 2004",NA,40.7127281,-74.0060152,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Manila Philippines Temple,4,3,1,26683,3.5,85,25,110,167.9,6,Detached,Yes,1981-04-01,1982-08-25,1984-09-25,"Quezon City, Metro Manila, Philippines",OPERATING,25 September 1984,59,manila-philippines-temple,Quezon City, Metro Manila,Philippines,"September 25, 1984",NA,14.6504951,121.0490906,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Manti Utah Temple,4,8,1,74792,27,23,0,23,NA,2,Attached,No,1875-06-25,1877-04-25,1888-05-21,"Manti, Utah, United States",RENOVATION,Renovation,43,manti-utah-temple,Manti, Utah,United States,,NA,39.2682951,-111.6368627,Brigham Young,1844-06-27 UTC--1877-08-29 UTC,1844-06-27T00:00:00Z,1877-08-29T00:00:00Z
McAllen Texas Temple,2,2,1,29732,10.6,NA,NA,NA,107.2,1,Attached,No,2019-10-05,2020-11-21,2023-10-08,"McAllen, Texas, United States",CONSTRUCTION,Construction,4124795,mcallen-texas-temple,McAllen, Texas,United States,,NA,26.204114,-98.2300605,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Medford Oregon Temple,2,2,1,10700,2,8,0,8,NA,1,Attached,Yes,1999-03-15,1999-05-20,2000-04-16,"Central Point, Oregon, United States",OPERATING,16 April 2000,38377,medford-oregon-temple,Central Point, Oregon,United States,"April 16, 2000",NA,42.376782,-122.912721,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Melbourne Australia Temple,2,2,1,10700,5.98,11,0,11,314.1,1,Attached,Yes,1998-10-30,1999-03-20,2000-06-16,"Wantirna South, Victoria, Australia",OPERATING,16 June 2000,36986,melbourne-australia-temple,Wantirna South, Victoria,Australia,"June 16, 2000",NA,-37.8737902,145.2217475,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Memphis Tennessee Temple,2,2,1,10890,6.35,6,0,6,323.7,1,Attached,Yes,1998-09-17,1999-01-16,2000-04-23,"Bartlett, Tennessee, United States",OPERATING,23 April 2000,36988,memphis-tennessee-temple,Bartlett, Tennessee,United States,"April 23, 2000",NA,41.9908485,-88.1850028,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Mendoza Argentina Temple,2,2,1,21000,NA,NA,NA,NA,NA,1,Attached,No,2018-10-07,2020-12-17,NA,"Mendoza, Argentina",CONSTRUCTION,Construction,4114410,mendoza-argentina-temple,Mendoza,,Argentina,,NA,-32.8894155,-68.8446177,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Mérida Mexico Temple,2,2,1,10700,1.53,14,2,16,34.7,1,Attached,Yes,1998-09-25,1999-01-16,2000-07-08,"Mérida, Yucatan, Mexico",OPERATING,8 July 2000,36916,merida-mexico-temple,Mérida, Yucatan,Mexico,"July 8, 2000",NA,20.9670759,-89.6237402,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Meridian Idaho Temple,3,5,1,67331,15.73,19,0,19,NA,1,Attached,Yes,2011-04-02,2014-08-23,2017-11-19,"Meridian, Idaho, United States",OPERATING,19 November 2017,4010938,meridian-idaho-temple,Meridian, Idaho,United States,"November 19, 2017",NA,32.3643098,-88.703656,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Mesa Arizona Temple,4,6,1,113916,20,29,0,29,NA,0,None,No,1919-10-03,1922-04-25,1927-10-23,"Mesa, Arizona, United States",OPERATING,23 October 1927,22,mesa-arizona-temple,Mesa, Arizona,United States,"October 23, 1927",NA,33.4151005,-111.831455,Heber J. Grant,1918-11-23 UTC--1945-05-14 UTC,1918-11-23T00:00:00Z,1945-05-14T00:00:00Z
Mexico City Mexico Temple,4,11,1,116642,7,96,4,100,NA,1,Attached,Yes,1976-04-03,1979-11-25,1983-12-02,"México, Distrito Federal, Mexico",OPERATING,2 December 1983,5,mexico-city-mexico-temple,México, Distrito Federal,Mexico,"December 2, 1983",NA,19.4326296,-99.1331785,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Miraflores Guatemala City Guatemala Temple,2,2,1,30000,1.5,NA,NA,NA,NA,1,Attached,No,2020-10-04,2022-12-03,NA,Location Not Available,ANNOUNCED,Announced,4134473,miraflores-guatemala-city-guatemala-temple,,,International,,International,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Monterrey Mexico Temple,2,2,1,16498,7.78,26,6,32,NA,1,Attached,Yes,1995-12-21,2000-11-04,2002-04-28,"Monterrey, Nuevo Leon, Mexico",OPERATING,28 April 2002,60,monterrey-mexico-temple,Monterrey, Nuevo Leon,Mexico,"April 28, 2002",NA,25.6802019,-100.315258,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Montevideo Uruguay Temple,2,2,1,10700,1.59,18,2,20,41.4,1,Attached,Yes,1998-11-02,1999-04-27,2001-03-18,"Carrasco, Montevideo, Uruguay",OPERATING,18 March 2001,36989,montevideo-uruguay-temple,Carrasco, Montevideo,Uruguay,"March 18, 2001",NA,-34.8855774,-56.0581498,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Monticello Utah Temple,2,2,1,11225,1.33,7,0,7,NA,1,Attached,Yes,1997-10-04,1997-11-17,1998-07-26,"Monticello, Utah, United States",OPERATING,26 July 1998,36462,monticello-utah-temple,Monticello, Utah,United States,"July 26, 1998",NA,45.3053901,-93.7939996,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Montpelier Idaho Temple,2,2,1,27000,2.6,NA,NA,NA,NA,1,Attached,No,2022-04-03,2023-06-17,NA,Location Not Available,ANNOUNCED,Announced,4148135,montpelier-idaho-temple,,,United States,,United States,39.7837304,-100.445882,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Montreal Quebec Temple,2,2,1,11550,2.4,4,1,5,46.5,1,Attached,Yes,1998-08-06,1999-04-09,2000-06-04,"Longueuil, Quebec, Canada",OPERATING,4 June 2000,36565,montreal-quebec-temple,Longueuil, Quebec,Canada,"June 4, 2000",NA,45.521906,-73.4644578,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Moses Lake Washington Temple,2,2,1,20000,17,NA,NA,NA,NA,1,Attached,No,2019-04-07,2020-10-10,2023-09-17,"Moses Lake, Washington, United States",CONSTRUCTION,Construction,4119594,moses-lake-washington-temple,Moses Lake, Washington,United States,,NA,47.1301417,-119.278077,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Mount Timpanogos Utah Temple,4,8,1,107240,16.7,73,0,73,NA,1,Attached,Yes,1992-10-03,1993-10-09,1996-10-13,"American Fork, Utah, United States",OPERATING,13 October 1996,18,mount-timpanogos-utah-temple,American Fork, Utah,United States,"October 13, 1996",NA,40.3768064,-111.7959146,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
Nairobi Kenya Temple,2,2,1,NA,NA,NA,NA,NA,NA,1,Attached,No,2017-04-02,2021-09-11,NA,"Nairobi, Kenya",CONSTRUCTION,Construction,4098473,nairobi-kenya-temple,Nairobi,,Kenya,,NA,-1.2832533,36.8172449,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Nashville Tennessee Temple,2,2,1,10700,6.86,10,0,10,653.1,1,Attached,Yes,1994-11-09,1999-03-13,2000-05-21,"Franklin, Tennessee, United States",OPERATING,21 May 2000,13,nashville-tennessee-temple,Franklin, Tennessee,United States,"May 21, 2000",NA,35.925206,-86.8689419,Howard W. Hunter,1994-06-05 UTC--1995-03-03 UTC,1994-06-05T00:00:00Z,1995-03-03T00:00:00Z
Nauvoo Illinois Temple,4,6,1,54000,3.3,5,0,5,650,1,Attached,Yes,1999-04-04,1999-10-24,2002-06-27,"Nauvoo, Illinois, United States",OPERATING,27 June 2002,44,nauvoo-illinois-temple,Nauvoo, Illinois,United States,"June 27, 2002",NA,40.550042,-91.3848749,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Neiafu Tonga Temple,2,2,1,17000,3.3,NA,NA,NA,101.7,1,Attached,No,2019-04-07,2021-09-11,NA,"Neiafu Vava’u, Tonga",CONSTRUCTION,Construction,4119592,neiafu-tonga-temple,Neiafu Vava’u,,Tonga,,NA,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Newport Beach California Temple,2,3,1,17800,8.8,15,0,15,196.1,1,Attached,Yes,2001-04-21,2003-08-15,2005-08-28,"Newport Beach, California, United States",OPERATING,28 August 2005,45903,newport-beach-california-temple,Newport Beach, California,United States,"August 28, 2005",NA,33.6170092,-117.9294401,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Nuku'alofa Tonga Temple,2,3,1,21184,1.2,21,2,23,49.7,1,Attached,Yes,1980-04-02,1981-02-18,1983-08-09,"Liahona, Tongatapu, Tonga",OPERATING,9 August 1983,12,nuku'alofa-tonga-temple,Liahona, Tongatapu,Tonga,"August 9, 1983",NA,NA,NA,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Oakland California Temple,4,7,1,80157,18.1,28,0,28,664.3,5,Attached,No,1961-01-23,1962-05-26,1964-11-17,"Oakland, California, United States",OPERATING,17 November 1964,46,oakland-california-temple,Oakland, California,United States,"November 17, 1964",NA,37.8044557,-122.271356,David O. McKay,1951-04-09 UTC--1970-01-18 UTC,1951-04-09T00:00:00Z,1970-01-18T00:00:00Z
Oaxaca Mexico Temple,2,2,1,10700,1.87,7,5,12,NA,1,Attached,Yes,1999-02-23,1999-03-13,2000-03-11,"Oaxaca, Oaxaca, Mexico",OPERATING,11 March 2000,37835,oaxaca-mexico-temple,Oaxaca, Oaxaca,Mexico,"March 11, 2000",NA,17.0604663,-96.7253575,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Ogden Utah Temple,6,9,1,112232,9.96,64,0,64,NA,1,Attached,Yes,1967-08-24,1969-09-08,1972-01-18,"Ogden, Utah, United States",OPERATING,18 January 1972,6,ogden-utah-temple,Ogden, Utah,United States,"January 18, 1972",NA,41.2230048,-111.9738429,David O. McKay,1951-04-09 UTC--1970-01-18 UTC,1951-04-09T00:00:00Z,1970-01-18T00:00:00Z
Okinawa Japan Temple,NA,NA,NA,10000,0.5,NA,NA,NA,141.9,1,Attached,No,2019-04-07,2020-12-05,2023-11-12,"Okinawa, Japan",CONSTRUCTION,Construction,4119591,okinawa-japan-temple,Okinawa,,Japan,,NA,26.4748948,127.91146866408414,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Oklahoma City Oklahoma Temple,2,2,1,10890,1,15,0,15,NA,1,Attached,Yes,1999-03-14,1999-07-03,2000-07-30,"Yukon, Oklahoma, United States",OPERATING,30 July 2000,38378,oklahoma-city-oklahoma-temple,Yukon, Oklahoma,United States,"July 30, 2000",NA,35.5067259,-97.7625386,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Oquirrh Mountain Utah Temple,4,7,1,60000,11,41,0,41,NA,1,Attached,Yes,2005-10-01,2006-12-16,2009-08-21,"South Jordan, Utah, United States",OPERATING,21 August 2009,77200,oquirrh-mountain-utah-temple,South Jordan, Utah,United States,"August 21, 2009",NA,40.5584882,-111.9367107,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Orem Utah Temple,4,4,1,70000,15.39,NA,NA,NA,NA,1,Attached,No,2019-10-05,2020-09-05,2024-01-21,"Orem, Utah, United States",CONSTRUCTION,Construction,4124791,orem-utah-temple,Orem, Utah,United States,,NA,40.2981599,-111.6944313,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Orlando Florida Temple,4,5,1,70000,13,24,0,24,193.8,1,Attached,Yes,1990-02-17,1992-06-20,1994-10-09,"Windermere, Florida, United States",OPERATING,9 October 1994,7,orlando-florida-temple,Windermere, Florida,United States,"October 9, 1994",NA,28.4944695,-81.5345547,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
Pago Pago American Samoa Temple,2,2,1,17000,NA,NA,NA,NA,61,1,Attached,No,2019-04-07,2021-10-30,NA,"Tafuna, Western District, American Samoa",CONSTRUCTION,Construction,4119590,pago-pago-american-samoa-temple,Tafuna, Western District,American Samoa,,NA,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Palmyra New York Temple,2,2,1,10900,5,7,1,8,578.9,1,Attached,Yes,1999-02-21,1999-05-25,2000-04-06,"Palmyra, New York, United States",OPERATING,6 April 2000,37774,palmyra-new-york-temple,Palmyra, New York,United States,"April 6, 2000",NA,5.882204,-162.0748745,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Panama City Panama Temple,2,2,1,18943,6.96,8,5,13,121.8,1,Attached,Yes,2002-08-23,2005-10-30,2008-08-10,"Corozal, Ancon, Panamá, Panama",OPERATING,10 August 2008,69207,panama-city-panama-temple,Corozal, Ancon,Panama,"August 10, 2008",NA,8.07207575,-81.41670995474647,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Papeete Tahiti Temple,2,2,1,12150,1.7,11,2,13,71.1,1,Attached,Yes,1980-04-02,1981-02-13,1983-10-27,"Papeete, Tahiti, French Polynesia",OPERATING,27 October 1983,14,papeete-tahiti-temple,Papeete, Tahiti,French Polynesia,"October 27, 1983",NA,NA,NA,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Paris France Temple,2,3,1,44175,2.26,8,0,8,390.5,0,None,No,2011-10-01,2012-08-24,2017-05-21,"Le Chesnay, France",OPERATING,21 May 2017,4012417,paris-france-temple,Le Chesnay,,France,"May 21, 2017",NA,48.8264842,2.1257808,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Payson Utah Temple,3,7,1,96630,10.63,30,0,30,NA,1,Attached,Yes,2010-01-25,2011-10-08,2015-06-07,"Payson, Utah, United States",OPERATING,7 June 2015,4007811,payson-utah-temple,Payson, Utah,United States,"June 7, 2015",NA,39.8169907,-91.2423657,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Perth Australia Temple,2,2,1,10700,2.76,4,0,4,92.5,1,Attached,Yes,1999-06-11,1999-11-20,2001-05-20,"Yokine, Western Australia, Australia",OPERATING,20 May 2001,40203,perth-australia-temple,Yokine, Western Australia,Australia,"May 20, 2001",NA,-31.90171,115.8525017,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Philadelphia Pennsylvania Temple,2,4,1,61466,1.6,11,0,11,32.6,2,Attached,Yes,2008-10-04,2011-09-17,2016-09-18,"Philadelphia, Pennsylvania, United States",OPERATING,18 September 2016,4005414,philadelphia-pennsylvania-temple,Philadelphia, Pennsylvania,United States,"September 18, 2016",NA,39.9527237,-75.1635262,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Phnom Penh Cambodia Temple,1,1,1,10000,3.16,NA,NA,NA,35.3,5,Attached,No,2018-10-07,2021-09-18,NA,"Phnom Penh, Cambodia",CONSTRUCTION,Construction,4114413,phnom-penh-cambodia-temple,Phnom Penh,,Cambodia,,NA,11.568271,104.9224426,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Phoenix Arizona Temple,2,4,1,64870,5.19,20,0,20,NA,1,Attached,Yes,2008-05-24,2011-06-04,2014-11-16,"Phoenix, Arizona, United States",OPERATING,16 November 2014,4004672,phoenix-arizona-temple,Phoenix, Arizona,United States,"November 16, 2014",NA,33.4484367,-112.074141,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Pittsburgh Pennsylvania Temple,2,2,1,32000,5.8,NA,NA,NA,NA,1,Attached,No,2020-04-05,2021-08-21,NA,"Cranberry Township, Pennsylvania, United States",CONSTRUCTION,Construction,4130713,pittsburgh-pennsylvania-temple,Cranberry Township, Pennsylvania,United States,,NA,40.7099343,-80.1060506,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Pocatello Idaho Temple,4,4,1,71125,10.94,20,0,20,NA,1,Attached,Yes,2017-04-02,2019-03-16,2021-11-07,"Pocatello, Idaho, United States",OPERATING,7 November 2021,4098474,pocatello-idaho-temple,Pocatello, Idaho,United States,"November 7, 2021",NA,42.8620287,-112.450627,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Port Moresby Papua New Guinea Temple,1,1,1,9550,3.76,NA,NA,NA,82.9,1,Attached,No,2019-10-05,2023-04-22,NA,Location Not Available,ANNOUNCED,Announced,4124792,port-moresby-papua-new-guinea-temple,,,NA,,NA,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Port Vila Vanuatu Temple,1,1,1,10000,1.62,NA,NA,NA,64.1,1,Attached,No,2020-10-04,2023-04-08,NA,Location Not Available,ANNOUNCED,Announced,4134471,port-vila-vanuatu-temple,,,NA,,NA,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Port-au-Prince Haiti Temple,1,1,1,10396,1.77,5,4,9,674.7,1,Attached,No,2015-04-05,2017-10-28,2019-09-01,"Port-au-Prince, Haiti",OPERATING,1 September 2019,4069711,port-au-prince-haiti-temple,Port-au-Prince,,Haiti,"September 1, 2019",NA,18.547327,-72.3395928,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Portland Oregon Temple,4,14,1,80500,7.3,31,0,31,235.8,6,Attached,Yes,1984-04-07,1986-09-20,1989-08-19,"Lake Oswego, Oregon, United States",OPERATING,19 August 1989,63,portland-oregon-temple,Lake Oswego, Oregon,United States,"August 19, 1989",NA,45.4206749,-122.670649,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Porto Alegre Brazil Temple,2,2,1,10700,2,26,6,32,307.7,1,Attached,Yes,1997-09-30,1998-05-02,2000-12-17,"Porto Alegre, Rio Grande do Sul, Brazil",OPERATING,17 December 2000,36566,porto-alegre-brazil-temple,Porto Alegre, Rio Grande do Sul,Brazil,"December 17, 2000",NA,-30.0324999,-51.2303767,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Praia Cape Verde Temple,1,1,1,8759,4.46,4,1,5,17.9,1,Attached,No,2018-10-07,2019-05-04,2022-06-19,"Praia, Cape Verde",OPERATING,19 June 2022,4114414,praia-cape-verde-temple,Praia,,Cape Verde,"June 19, 2022",NA,14.9162811,-23.5095095,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Preston England Temple,4,4,1,69630,15,23,1,24,361.9,1,Attached,Yes,1992-10-19,1994-06-12,1998-06-07,"Chorley, Lancashire, England",OPERATING,7 June 1998,19,preston-england-temple,Chorley, Lancashire,England,"June 7, 1998",NA,NA,NA,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
Provo City Center Temple,3,5,1,85084,5.6,29,0,29,NA,5,Attached,Yes,2011-10-01,2012-05-12,2016-03-20,"Provo, Utah, United States",OPERATING,20 March 2016,4012416,provo-city-center-temple,Provo, Utah,United States,"March 20, 2016",NA,40.2337289,-111.6587085,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Provo Utah Temple,6,12,1,130825,17,57,0,57,NA,1,Attached,Yes,1967-08-14,1969-09-15,1972-02-09,"Provo, Utah, United States",OPERATING,9 February 1972,8,provo-utah-temple,Provo, Utah,United States,"February 9, 1972",NA,40.2337289,-111.6587085,David O. McKay,1951-04-09 UTC--1970-01-18 UTC,1951-04-09T00:00:00Z,1970-01-18T00:00:00Z
Puebla Mexico Temple,4,3,1,30000,6.84,NA,NA,NA,NA,1,Attached,Yes,2018-10-07,2019-11-30,NA,"Puebla, Puebla, Mexico",CONSTRUCTION,Construction,4114416,puebla-mexico-temple,Puebla, Puebla,Mexico,,NA,19.0437196,-98.1981486,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Querétaro Mexico Temple,2,2,1,27500,3.58,NA,NA,NA,NA,1,Attached,No,2021-04-04,2023-01-07,NA,Location Not Available,ANNOUNCED,Announced,4138359,queretaro-mexico-temple,,,International,,International,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Quetzaltenango Guatemala Temple,2,2,1,21085,6.47,18,6,24,NA,1,Attached,Yes,2006-12-16,2009-03-14,2011-12-11,"Quetzaltenango, Quezaltenango, Guatemala",OPERATING,11 December 2011,78698,quetzaltenango-guatemala-temple,Quetzaltenango, Quezaltenango,Guatemala,"December 11, 2011",NA,14.8464612,-91.5194208,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Quito Ecuador Temple,2,2,1,36780,3.96,16,1,17,NA,1,Attached,Yes,2016-04-03,2019-05-11,2022-11-20,"Quito, Equador",OPERATING,20 November 2022,4086054,quito-ecuador-temple,Quito,,Equador,"November 20, 2022",NA,-0.2201641,-78.5123274,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Raleigh North Carolina Temple,2,2,1,12864,3.17,14,0,14,447.6,1,Attached,Yes,1998-09-03,1999-02-06,1999-12-18,"Apex, North Carolina, United States",OPERATING,18 December 1999,36603,raleigh-north-carolina-temple,Apex, North Carolina,United States,"December 18, 1999",NA,35.7325352,-78.8505516,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Recife Brazil Temple,2,3,1,37200,5.59,45,5,50,15,1,Attached,Yes,1995-01-13,1996-11-11,2000-12-15,"Recife, Pernambuco, Brazil",OPERATING,15 December 2000,57,recife-brazil-temple,Recife, Pernambuco,Brazil,"December 15, 2000",NA,-8.0584933,-34.8848193,Howard W. Hunter,1994-06-05 UTC--1995-03-03 UTC,1994-06-05T00:00:00Z,1995-03-03T00:00:00Z
Red Cliffs Utah Temple,4,6,1,96277,15.12,NA,NA,NA,NA,1,Attached,Yes,2018-10-07,2020-11-07,NA,"St. George, Utah, United States",CONSTRUCTION,Construction,4114421,red-cliffs-utah-temple,St. George, Utah,United States,,NA,37.104153,-113.5841313,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Redlands California Temple,2,3,1,17300,4.6,19,0,19,NA,1,Attached,Yes,2001-04-21,2001-12-01,2003-09-14,"Redlands, California, United States",OPERATING,14 September 2003,45902,redlands-california-temple,Redlands, California,United States,"September 14, 2003",NA,34.0550328,-117.1827445,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Regina Saskatchewan Temple,2,2,1,10700,1,2,0,2,NA,1,Attached,Yes,1998-08-03,1998-11-14,1999-11-14,"Regina, Saskatchewan, Canada",OPERATING,14 November 1999,36567,regina-saskatchewan-temple,Regina, Saskatchewan,Canada,"November 14, 1999",NA,50.44876,-104.61731,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
